VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnOver,SalesToPurchaseRatio,UnitPurchasePrice,OrderSize,UnsoldInventoryValue
3664,WILLIAM GRANT & SONS INC,2837,Girvan Patent Still #4 Apps,34.07,45.99,750.0,14,476.98,12.0,551.88,551.88,9.48,30234.420000000002,74.89999999999998,13.57179096905124,0.8571428571428571,1.1570296448488406,34.07,Medium,68.14
9744,FREDERICK WILDMAN & SONS,24392,Ch Fuisse Pouilly Fuisse Tet,24.82,35.99,750.0,19,471.58,37.0,1331.63,323.91,4.14,3999.93,860.0500000000002,64.58625894580328,1.9473684210526316,2.8237626701726115,24.82,Medium,-446.76
4692,KOBRAND CORPORATION,20422,M Chiarlo Barberesco Anni 09,18.06,27.99,750.0,26,469.56,71.0,1987.29,1399.5,7.84,9139.38,1517.73,76.37184306266323,2.730769230769231,4.232238691541017,18.06,Medium,-812.6999999999999
10754,PERFECTA WINES,27425,Proud Pour The Oyster Svgn B,13.33,19.99,750.0,35,466.55,35.0,699.65,79.96,3.94,28720.52,233.09999999999997,33.316658329164575,1.0,1.4996249062265565,13.33,Medium,0.0
10754,PERFECTA WINES,23763,Ch Marquis de Terme 12 Mrgx,35.8,52.99,750.0,13,465.40000000000003,29.0,1536.71,1218.77,3.2,28720.52,1071.31,69.71451998099836,2.230769230769231,3.301912333476579,35.800000000000004,Medium,-572.8
516,BANFI PRODUCTS CORP,25270,Cantine Maschio Sparkling Ro,2.46,3.79,187.0,189,464.94,135.0,511.65,98.54,3.8200000000000003,8510.41,46.70999999999998,9.129287598944586,0.7142857142857143,1.1004645760743321,2.46,Large,132.84
8112,MOET HENNESSY USA INC,40782,Krug Rose Champagne,154.96,233.99,750.0,3,464.88,2.0,467.98,467.98,0.22,48347.26,3.1000000000000227,0.6624214710030392,0.6666666666666666,1.0066683875408708,154.96,Small,154.96
2000,SOUTHERN WINE & SPIRITS NE,1253,Tullibardine Burgundy Finish,51.17,64.99,750.0,9,460.53,17.0,1104.83,909.8599999999999,13.41,19016.59,644.3,58.31666410216957,1.8888888888888888,2.3990402362495384,51.169999999999995,Small,-409.36
2000,SOUTHERN WINE & SPIRITS NE,24322,Ch Phelan Segur St-Estphe 12,32.89,49.99,750.0,14,460.46000000000004,43.0,2149.57,849.83,4.8,19016.59,1689.1100000000001,78.57897160827514,3.0714285714285716,4.668309950918647,32.89,Medium,-953.8100000000001
2000,SOUTHERN WINE & SPIRITS NE,19684,Ch Magdelaine 10 St Emilion,75.86,109.99,750.0,6,455.16,10.0,1099.8999999999999,879.92,1.1,19016.59,644.7399999999998,58.61805618692607,1.6666666666666667,2.416512874593549,75.86,Small,-303.44
9552,M S WALKER INC,25181,Grahams 2000 Vintage Port,64.42,95.99,750.0,7,450.94,9.0,863.91,767.92,0.99,55551.82,412.96999999999997,47.80243312382076,1.2857142857142858,1.9157981106133852,64.42,Small,-128.84
9552,M S WALKER INC,18785,Tineta Tinto Fino Ribera Del,9.33,13.99,750.0,48,447.84,33.0,461.67,111.92,3.6900000000000004,55551.82,13.830000000000041,2.9956462408213747,0.6875,1.0308815648445875,9.33,Large,139.95
4425,MARTIGNETTI COMPANIES,23193,Martinelli Vellu Ranch Znfdl,36.98,53.99,750.0,12,443.76,11.0,593.89,539.9,1.21,144929.24,150.13,25.279092087760358,0.9166666666666666,1.3383135027943032,36.98,Medium,36.98
3252,E & J GALLO WINERY,24997,W Hill Merlot Napa,16.43,23.99,750.0,27,443.61,16.0,463.84,405.85999999999996,1.77,61966.91,20.22999999999996,4.3614177302518025,0.5925925925925926,1.0456031198575324,16.43,Medium,180.73
9165,ULTRA BEVERAGE COMPANY LLP,21179,Amapola Creek 09 Cab Svgn,40.26,59.99,750.0,11,442.86,19.0,1063.81,783.86,2.11,68054.7,620.9499999999999,58.37038568917382,1.7272727272727273,2.4021361152508693,40.26,Small,-322.08
6785,PALM BAY INTERNATIONAL INC,18433,Bertani Amarone 04,62.91,94.99,750.0,7,440.37,6.0,569.9399999999999,474.95,0.66,13605.41,129.56999999999994,22.73397199705231,0.8571428571428571,1.2942298521697662,62.910000000000004,Small,62.91
8892,TRINCHERO FAMILY ESTATES,10273,Rebel Newmans Own Cab Svgn,6.62,9.99,750.0,66,436.91999999999996,47.0,469.53000000000003,239.76,5.22,11595.97,32.61000000000007,6.945243115455896,0.7121212121212122,1.0746360889865423,6.619999999999999,Large,125.78
2000,SOUTHERN WINE & SPIRITS NE,19822,Ch LaGrange 10 Brdx,72.6,105.99,750.0,6,435.6,5.0,529.9499999999999,211.98,0.56,19016.59,94.34999999999991,17.803566374186232,0.8333333333333334,1.2165977961432504,72.60000000000001,Small,72.6
10754,PERFECTA WINES,20507,Ch la Pointe Pomerol,20.64,31.99,750.0,21,433.44,34.0,1087.6599999999999,575.8199999999999,3.7800000000000002,28720.52,654.2199999999998,60.14931136568412,1.619047619047619,2.509366925064599,20.64,Medium,-268.32
4692,KOBRAND CORPORATION,22473,Cakebread Clrs Cab Svgn 11,86.09,129.99,1500.0,5,430.45,4.0,519.96,259.98,0.9,9139.38,89.51000000000005,17.21478575275022,0.8,1.207945173655477,86.09,Small,86.09
