VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnOver,SalesToPurchaseRatio
10754,PERFECTA WINES,43662,L'Ecole No 41 Cab Svgn Clmba,19.86,33.99,750.0,840,16682.399999999998,233.0,7080.67,5284.259999999999,25.75,28720.52,-9601.729999999998,-135.6048227074556,0.2773809523809524,0.42443952908454424
9552,M S WALKER INC,4606,Grand Mayan Barrel Aged Tequ,102.93,139.99,750.0,162,16674.66,36.0,5039.64,4899.650000000001,28.43,55551.82,-11635.02,-230.87006214729624,0.2222222222222222,0.30223344883793735
9165,ULTRA BEVERAGE COMPANY LLP,2344,Bunnahabain 18Yr Single Malt,102.89,141.99,750.0,162,16668.18,21.0,2981.79,2981.79,16.59,68054.7,-13686.39,-458.99912468684914,0.12962962962962962,0.17889115668297317
1392,CONSTELLATION BRANDS INC,26088,R Mondavi Maestro Red Napa V,34.01,54.99,750.0,490,16664.899999999998,141.0,7048.59,4149.17,15.65,79528.99,-9616.309999999998,-136.42884605289848,0.28775510204081634,0.42296023378478126
3252,E & J GALLO WINERY,33148,Alamos Ridge Chard Mendoza,4.54,9.99,750.0,3668,16652.719999999998,563.0,5624.37,2897.1,62.7,61966.91,-11028.349999999999,-196.0815166854243,0.1534896401308615,0.3377448248694508
8112,MOET HENNESSY USA INC,3296,Belvedere Pink Grapefruit,15.99,22.99,750.0,1038,16597.62,239.0,5494.61,4299.13,188.44,48347.26,-11103.009999999998,-202.0709386107476,0.2302504816955684,0.33104806592752456
4425,MARTIGNETTI COMPANIES,14250,Ruta 22 Malbec,6.62,11.99,750.0,2506,16589.72,815.0,9177.85,4330.16,90.84,144929.24,-7411.870000000001,-80.75823858528959,0.325219473264166,0.5532251297791644
9552,M S WALKER INC,17928,Prima Perla Prosecco Treviso,7.94,11.99,750.0,2089,16586.66,1371.0,13698.29,3298.7000000000003,153.70000000000002,55551.82,-2888.369999999999,-21.08562455605772,0.6562948779320249,0.8258618673078245
3252,E & J GALLO WINERY,26361,Prophecy Red Blend,6.62,9.99,750.0,2503,16569.86,2284.0,13451.16,3389.27,256.41,61966.91,-3118.7000000000007,-23.185360965150966,0.9125049940071913,0.8117847706619126
1601,VRANKEN AMERICA,17595,Ch La Gordonne Rose,11.03,16.99,750.0,1501,16556.03,59.0,998.41,643.6199999999999,6.53,1048.97,-15557.619999999999,-1558.2396009655351,0.03930712858094604,0.060304916094015296
9165,ULTRA BEVERAGE COMPANY LLP,2232,Sipsmith Gin,31.0,39.99,750.0,534,16554.0,258.0,9241.42,7425.9400000000005,203.45000000000002,68054.7,-7312.58,-79.12831577831112,0.48314606741573035,0.5582590310498973
2555,DISARONNO INTERNATIONAL LLC,644,Amaretto DiSaronno,20.76,26.99,1000.0,797,16545.72,173.0,4842.2699999999995,3414.7799999999997,181.65,5861.03,-11703.45,-241.6934619506967,0.21706398996235884,0.29265997490589707
2000,SOUTHERN WINE & SPIRITS NE,21627,Ferrari Carano Pnt Grigio,10.27,14.99,750.0,1610,16534.7,375.0,6014.25,4176.389999999999,41.45,19016.59,-10520.45,-174.9253855426695,0.2329192546583851,0.3637350541588296
9552,M S WALKER INC,2256,Tamdhu Batch Speyside Whisky,72.46,99.99,750.0,228,16520.88,0.0,0.0,0.0,0.0,55551.82,-16520.88,-inf,0.0,0.0
4425,MARTIGNETTI COMPANIES,14552,Dom de Dionysos Cairanne Cig,13.24,19.99,750.0,1247,16510.28,440.0,7997.599999999999,5191.139999999999,48.81,144929.24,-8512.68,-106.44043212963889,0.3528468323977546,0.4844012336556376
12546,JIM BEAM BRANDS COMPANY,2563,Greenore Irish Whiskey,34.61,49.99,750.0,477,16508.97,85.0,4009.15,3599.2400000000002,67.08,123880.97,-12499.820000000002,-311.78229799334025,0.17819706498951782,0.24284676754515877
4425,MARTIGNETTI COMPANIES,15444,Riff Pnt Grigio,6.57,9.99,750.0,2511,16497.27,624.0,6761.76,2277.92,69.9,144929.24,-9735.51,-143.9789344785973,0.24850657108721624,0.4098714514583322
90047,CRUSH WINES,14852,Mooiplaas The Bean Pinotage,8.16,12.99,750.0,2019,16475.04,697.0,9552.03,4845.49,77.66,1457.73,-6923.01,-72.47684523603883,0.3452204061416543,0.5797879701657781
4425,MARTIGNETTI COMPANIES,45298,Hall Cab Svgn Napa,32.67,53.99,750.0,504,16465.68,210.0,10643.9,6548.71,23.28,144929.24,-5821.780000000001,-54.69592912372345,0.4166666666666667,0.646429421681947
516,BANFI PRODUCTS CORP,8630,Fontana Candida Frascati,5.47,7.99,750.0,3010,16464.7,751.0,6169.49,3030.84,83.63,8510.41,-10295.210000000001,-166.87295060045483,0.24950166112956812,0.3747101374455653
9744,FREDERICK WILDMAN & SONS,45600,Luigi Bosca La Linda Malbec,7.33,10.99,750.0,2244,16448.52,957.0,9560.43,5254.74,106.4,3999.93,-6888.09,-72.04790997894446,0.4264705882352941,0.5812334483588797
3924,HEAVEN HILL DISTILLERIES,3592,Burnetts Pineapple Vodka,7.14,11.99,1750.0,2303,16443.420000000002,0.0,0.0,0.0,0.0,14069.87,-16443.420000000002,-inf,0.0,0.0
480,BACARDI USA INC,810,Bacardi Black Razz,7.19,11.99,750.0,2283,16414.77,53.0,529.47,139.86,41.71,89286.27,-15885.300000000001,-3000.2266417360756,0.023215067893123085,0.03225570629378298
2242,DELICATO VINEYARDS INC,19190,Noble Vines 242 Svgn Bl,7.09,10.99,750.0,2312,16392.079999999998,595.0,6224.05,3732.44,66.03,7982.65,-10168.029999999999,-163.366778865851,0.25735294117647056,0.37969861054850884
9552,M S WALKER INC,38542,Avalon Cab Svgn Cal,7.18,12.99,750.0,2283,16391.94,723.0,7658.77,3418.8,80.58,55551.82,-8733.169999999998,-114.02836225660253,0.316688567674113,0.4672277960997906
10754,PERFECTA WINES,6692,Jaboulet Cotes du Rhone Par,6.68,11.99,750.0,2453,16386.04,1659.0,19834.41,9590.04,184.8,28720.52,3448.369999999999,17.38579569546056,0.6763147166734611,1.2104455988146006
3252,E & J GALLO WINERY,11441,Frei Bros Rsv Znfdl,10.96,16.99,750.0,1495,16385.2,530.0,9004.699999999999,5130.98,58.870000000000005,61966.91,-7380.500000000002,-81.96275278465693,0.35451505016722407,0.5495630202866
8664,"STOLI GROUP,(USA) LLC",8015,Bayou Satsuma Rum Liqueur,14.81,19.99,750.0,1106,16379.86,239.0,3821.61,3245.9700000000003,188.56,18544.49,-12558.25,-328.61150143525896,0.21609403254972875,0.23331151792506163
10754,PERFECTA WINES,13567,Bila-Haut Cotes Roussillon,9.33,13.99,750.0,1755,16374.15,393.0,5375.07,3061.76,43.67,28720.52,-10999.08,-204.63138154479847,0.22393162393162394,0.32826558935883693
8664,"STOLI GROUP,(USA) LLC",213,Stolichnaya Blueberi,17.03,22.99,1000.0,961,16365.830000000002,175.0,4157.25,2733.85,183.75,18544.49,-12208.580000000002,-293.66961332611703,0.18210197710718,0.25402011385918094
9165,ULTRA BEVERAGE COMPANY LLP,6115,Midnight Moon Raspberry,14.07,18.99,750.0,1162,16349.34,292.0,5837.08,4917.54,230.36,68054.7,-10512.26,-180.09449930444674,0.2512908777969019,0.3570223629822366
9552,M S WALKER INC,23917,Mionetto Prosecco DOC Brut,18.54,27.99,1500.0,881,16333.74,300.0,8403.0,5631.99,66.82000000000001,55551.82,-7930.74,-94.37986433416637,0.340522133938706,0.5144565788362004
9165,ULTRA BEVERAGE COMPANY LLP,14663,Spellbound Merlot,8.78,15.99,750.0,1859,16322.02,585.0,7813.15,4645.52,65.04,68054.7,-8508.87,-108.90447514766772,0.3146853146853147,0.4786876869407095
8892,TRINCHERO FAMILY ESTATES,28070,Sutter Home Moscato Cal,6.66,9.99,1500.0,2450,16317.0,678.0,6773.22,4305.6900000000005,151.23,11595.97,-9543.779999999999,-140.90462143559486,0.276734693877551,0.41510204081632657
6785,PALM BAY INTERNATIONAL INC,23155,Rocca Delle Macie Chianti C,12.58,19.99,750.0,1296,16303.68,399.0,7737.009999999999,5098.37,44.160000000000004,13605.41,-8566.670000000002,-110.7232638965182,0.30787037037037035,0.47455605114918836
8664,"STOLI GROUP,(USA) LLC",4904,Bayou Spiced Rum,15.38,19.99,750.0,1060,16302.8,301.0,4812.99,3885.57,237.33,18544.49,-11489.81,-238.72499215664274,0.2839622641509434,0.2952247466692838
9165,ULTRA BEVERAGE COMPANY LLP,4491,Calvados Marquis De St Loup,19.04,27.99,750.0,855,16279.199999999999,413.0,12397.869999999999,10046.65,45.56,68054.7,-3881.33,-31.30642602317979,0.4830409356725146,0.7615773502383409
516,BANFI PRODUCTS CORP,40667,Bolla Chianti,8.6,12.99,1500.0,1891,16262.6,369.0,5309.31,3804.36,82.05,8510.41,-10953.29,-206.30345562794412,0.195134849286092,0.32647362660337215
9165,ULTRA BEVERAGE COMPANY LLP,9092,Junipero Gin,21.89,34.99,750.0,742,16242.380000000001,206.0,6177.94,5578.139999999999,162.57,68054.7,-10064.440000000002,-162.90931928765903,0.2776280323450135,0.3803592823219257
12546,JIM BEAM BRANDS COMPANY,3594,Pinnacle Tropical Punch,0.77,0.99,50.0,21089,16238.53,7306.0,7232.9400000000005,2510.64,379.08,123880.97,-9005.59,-124.50801472153785,0.34643653089288257,0.4454183968622776
4425,MARTIGNETTI COMPANIES,27243,Stars Like Ours Rose,6.53,9.99,750.0,2485,16227.05,786.0,7852.14,4685.31,87.23,144929.24,-8374.91,-106.65767548719202,0.31629778672032194,0.48389201980643437
7239,REMY COINTREAU USA INC,3601,Remy Martin V,26.61,36.99,750.0,609,16205.49,175.0,6482.25,4410.81,137.93,16978.67,-9723.24,-149.9979173897952,0.28735632183908044,0.4000033322040864
7153,PINE STATE TRADING CO,6157,Kinky Blue Liqueur,6.01,7.99,375.0,2692,16178.92,0.0,0.0,0.0,0.0,15884.82,-16178.92,-inf,0.0,0.0
516,BANFI PRODUCTS CORP,18575,Sartori Amarone,26.34,39.99,750.0,614,16172.759999999998,249.0,9955.51,6676.33,27.580000000000002,8510.41,-6217.249999999998,-62.45034156964332,0.40553745928338764,0.6155727284644057
3252,E & J GALLO WINERY,11320,Edna Valley Paragon Svgn Bl,7.74,11.99,750.0,2089,16168.859999999999,637.0,7091.63,3886.52,70.76,61966.91,-9077.23,-127.99920469624048,0.3049305887984682,0.4385980211344523
4425,MARTIGNETTI COMPANIES,41868,Goldeneye Anderson Pnt Nr,33.78,49.99,750.0,478,16146.84,133.0,6648.67,4049.19,14.75,144929.24,-9498.17,-142.85819569929023,0.27824267782426776,0.4117629207944093
10754,PERFECTA WINES,27412,Peter Paul Bennett Vy Svgn B,7.74,11.99,750.0,2085,16137.9,1103.0,13224.97,6438.63,122.76,28720.52,-2912.9300000000003,-22.025985692217073,0.5290167865707434,0.8194975802303893
2000,SOUTHERN WINE & SPIRITS NE,20459,Hardys Nottage Hill Chard,4.82,6.99,750.0,3346,16127.720000000001,1466.0,10247.34,4221.96,163.76000000000002,19016.59,-5880.380000000001,-57.38445294095834,0.43813508667065154,0.6353867750680195
8112,MOET HENNESSY USA INC,13581,Veuve Clicquot Rose Shop Bag,33.11,49.99,750.0,487,16124.57,407.0,20345.93,5248.95,45.68,48347.26,4221.360000000001,20.747933370457876,0.8357289527720739,1.2617967486884922
3252,E & J GALLO WINERY,36543,MacMurray Ranch Pnt Nr RRV,13.15,29.99,750.0,1226,16121.900000000001,21.0,419.78999999999996,239.88,2.3400000000000003,61966.91,-15702.11,-3740.4678529741063,0.017128874388254486,0.026038494222145027
10754,PERFECTA WINES,20251,Round Pond Est Svgn Bl Napa,15.53,22.99,750.0,1037,16104.61,225.0,4947.75,3076.6,24.95,28720.52,-11156.86,-225.4936082057501,0.21697203471552556,0.3072256950028594
90011,FORTUNE WINE BROKERS LLC,43129,Jelu Malbec San Juan,7.89,12.99,750.0,2038,16079.820000000002,671.0,8774.29,5226.01,74.49,238.60999999999999,-7305.530000000001,-83.26063989223059,0.32924435721295386,0.5456709092514718
7245,PROXIMO SPIRITS INC.,8470,1800 Reposado Gold Tequila,2.08,2.79,50.0,7729,16076.32,2096.0,5847.84,3049.4700000000003,107.52000000000001,38994.78,-10228.48,-174.91039426523295,0.2711864406779661,0.36375488917861803
1392,CONSTELLATION BRANDS INC,39598,R M Woodbridge Cab Svgn Cal,4.76,7.99,187.0,3375,16065.0,882.0,6781.18,3531.4,25.51,79528.99,-9283.82,-136.90567128434873,0.2613333333333333,0.42210893246187364
4425,MARTIGNETTI COMPANIES,23197,Yellow Tail Sangria Blanco,6.84,9.99,1500.0,2347,16053.48,607.0,6515.93,4103.72,135.42000000000002,144929.24,-9537.55,-146.3728124764999,0.2586280357903707,0.40588894121399227
9552,M S WALKER INC,36200,Four Vines Truant Znfdl,8.21,13.99,750.0,1954,16042.34,681.0,8321.19,4901.99,75.59,55551.82,-7721.15,-92.78901214850279,0.34851586489252817,0.518701760466366
8112,MOET HENNESSY USA INC,3651,Belvedere Vodka,2.93,3.99,50.0,5474,16038.820000000002,1922.0,7668.780000000001,3539.13,98.97,48347.26,-8370.04,-109.14434890556255,0.35111435878699304,0.4781386660614684
9744,FREDERICK WILDMAN & SONS,25645,Marchesi Di Barolo Zagara Mo,9.93,14.99,750.0,1615,16036.949999999999,1038.0,9944.12,2811.09,116.23,3999.93,-6092.829999999998,-61.270680562985945,0.6427244582043343,0.6200755131119072
9165,ULTRA BEVERAGE COMPANY LLP,11152,Stemmari Pt Nr,5.26,7.99,750.0,3047,16027.22,819.0,7362.81,3596.0,91.28,68054.7,-8664.41,-117.67803325089197,0.2687889727600919,0.459394080820005
7245,PROXIMO SPIRITS INC.,8484,1800 Coconut Tequila,2.16,2.79,50.0,7414,16014.24,2228.0,6216.12,3149.91,114.34,38994.78,-9798.119999999999,-157.62437018590373,0.30051254383598597,0.38816203578814856
4425,MARTIGNETTI COMPANIES,6694,Lindemans Bin 65 Chard,5.19,7.99,750.0,3083,16000.77,803.0,6557.97,3691.46,89.22,144929.24,-9442.8,-143.9896797332101,0.2604605903340902,0.40985340080508625
12546,JIM BEAM BRANDS COMPANY,453,Hornitos Reposado Tequila,21.01,28.99,1000.0,761,15988.61,374.0,11216.26,2039.32,392.7,123880.97,-4772.35,-42.54849655767609,0.4914586070959264,0.7015156414472552
9165,ULTRA BEVERAGE COMPANY LLP,2310,Ungava Gin,23.19,28.99,750.0,689,15977.909999999998,153.0,4435.469999999999,3507.79,120.65,68054.7,-11542.439999999999,-260.23037017497586,0.2220609579100145,0.27760013668871586
3252,E & J GALLO WINERY,6266,Gallo Fairbanks Sherry,5.06,7.79,1500.0,3154,15959.24,944.0,7353.76,4152.07,210.6,61966.91,-8605.48,-117.0214964861513,0.2993024730500951,0.46078384684985
9552,M S WALKER INC,15399,Lobster Reef Svgn Bl,7.28,11.99,750.0,2192,15957.76,690.0,7583.1,3549.77,76.93,55551.82,-8374.66,-110.43847503000093,0.3147810218978102,0.4751982734418866
3960,DIAGEO NORTH AMERICA INC,3228,Ciroc Mango Vodka,1.55,1.99,50.0,10295,15957.25,7893.0,15707.07,5319.2699999999995,409.72,257032.07,-250.1800000000003,-1.592785923791008,0.766682855755221,0.9843218599696063
5455,MARSALLE COMPANY,5205,Don Felix Plata Tequila,31.99,39.99,750.0,498,15931.02,226.0,7819.740000000001,6452.13,178.3,937.21,-8111.28,-103.72825694971954,0.4538152610441767,0.4908499267466867
17031,FLAG HILL WINERY & VINEYARD,5983,Flag Hill Spiced Rum,21.42,26.99,750.0,743,15915.060000000001,326.0,9404.74,7371.429999999999,257.1,1573.31,-6510.3200000000015,-69.22381692635842,0.4387617765814266,0.5909333675147941
1392,CONSTELLATION BRANDS INC,39599,R M Woodbridge Chard Cal,4.51,7.99,187.0,3528,15911.279999999999,964.0,7430.36,3838.01,27.919999999999998,79528.99,-8480.919999999998,-114.1387496702717,0.2732426303854875,0.4669869425966987
9815,WINE GROUP INC,31458,Foxhorn Wh Znfdl Cal,5.4,8.99,1500.0,2941,15881.4,911.0,7523.89,4627.39,203.3,27100.41,-8357.509999999998,-111.07964098358691,0.3097585855151309,0.4737548326973693
9552,M S WALKER INC,38541,Avalon Cab Svgn Napa,11.99,19.99,750.0,1324,15874.76,405.0,7533.95,4453.61,44.95,55551.82,-8340.810000000001,-110.70965429821011,0.30589123867069484,0.47458670241313883
3664,WILLIAM GRANT & SONS INC,2827,Glenfiddich 26 Yr Old Scotch,396.82,499.99,750.0,40,15872.800000000001,6.0,2999.94,2999.94,4.74,30234.420000000002,-12872.86,-429.1039154116416,0.15,0.18899879038354922
4950,LATITUDE BEVERAGE COMPANY,24301,Mija Sangria,5.47,9.99,750.0,2899,15857.53,557.0,5464.43,3398.57,61.84,1610.0,-10393.1,-190.1955007201117,0.19213521904104863,0.34459528060170785
4692,KOBRAND CORPORATION,40136,Cakebread Merlot Napa,32.87,47.99,750.0,482,15843.34,162.0,7774.38,4367.09,17.96,9139.38,-8068.96,-103.78911244369327,0.3360995850622407,0.49070334916753666
9819,TREASURY WINE ESTATES,6438,Beringer Classic Chenin Blan,3.22,5.99,750.0,4919,15839.179999999998,1081.0,6855.19,2409.2200000000003,120.82000000000001,14836.57,-8983.989999999998,-131.05384387595382,0.2197601138442773,0.43279955149193333
3252,E & J GALLO WINERY,27233,Turning Leaf RSV Merlot Cal,4.1,5.99,750.0,3861,15830.1,1128.0,6756.72,2803.32,125.77,61966.91,-9073.380000000001,-134.2867545199446,0.29215229215229216,0.42682737316883657
4425,MARTIGNETTI COMPANIES,46428,Villa Pozzi Nero D'Avola,6.03,9.99,750.0,2624,15822.72,767.0,7662.33,3886.11,85.34,144929.24,-8160.389999999999,-106.50011158485735,0.2923018292682927,0.48426123953403716
7239,REMY COINTREAU USA INC,1084,Cointreau Liqueur with Carafe,26.35,33.99,750.0,599,15783.65,485.0,14593.15,11300.24,382.45,16978.67,-1190.5,-8.15793711433104,0.8096828046744574,0.9245738469872304
8352,LUXCO INC,5015,Arrow Creme de Banana,5.88,7.99,750.0,2681,15764.28,568.0,4538.32,3371.78,447.83,10261.6,-11225.960000000001,-247.35937527543234,0.21186124580380455,0.28788628468918337
7153,PINE STATE TRADING CO,16540,Atamisque Malbec,13.63,20.99,750.0,1156,15756.28,351.0,7676.49,5424.5199999999995,38.85,15884.82,-8079.790000000001,-105.25370318986936,0.3036332179930796,0.48720192837395626
3252,E & J GALLO WINERY,6782,Peter Vella Delicious Blush,9.65,13.99,5000.0,1632,15748.800000000001,457.0,6850.43,5021.65,342.75,61966.91,-8898.37,-129.89505768251044,0.2800245098039216,0.43498107792339735
3252,E & J GALLO WINERY,6748,Turning Leaf RSV Chard Cal,3.89,5.99,750.0,4044,15731.16,1319.0,7900.81,3713.8,146.94,61966.91,-7830.349999999999,-99.10819270429234,0.326162215628091,0.5022395042705052
4425,MARTIGNETTI COMPANIES,22030,Pulenta Est La Flor Malbec,9.08,13.99,750.0,1732,15726.56,261.0,4222.39,3006.14,28.86,144929.24,-11504.169999999998,-272.4563576552615,0.15069284064665128,0.2684878320497299
10754,PERFECTA WINES,26995,Frank Family Vyds Cab Svgn,38.35,55.99,750.0,410,15723.5,159.0,8902.41,5319.05,17.67,28720.52,-6821.09,-76.6207128182144,0.3878048780487805,0.5661850096988584
9165,ULTRA BEVERAGE COMPANY LLP,2495,Virginia Highland Malt Whsky,47.19,58.99,750.0,333,15714.269999999999,96.0,4903.04,4003.2200000000003,75.76,68054.7,-10811.23,-220.5005465996606,0.2882882882882883,0.31201194837558477
10754,PERFECTA WINES,17754,Chocolate Shop Red,8.05,11.99,750.0,1951,15705.55,1213.0,14677.87,8129.3,134.83,28720.52,-1027.6799999999985,-7.001560853175552,0.6217324449000513,0.9345658063550784
4380,CHARLES JACQUIN ET CIE INC,6717,Dream Catcher Irish Liqueur,16.53,21.99,750.0,950,15703.500000000002,275.0,5787.25,5037.599999999999,216.99,1675.39,-9916.250000000002,-171.34649444900433,0.2894736842105263,0.3685324927563918
9165,ULTRA BEVERAGE COMPANY LLP,38635,Cesari Mara Vino di Ripasso,11.48,17.99,750.0,1367,15693.16,376.0,6637.24,3178.2,41.88,68054.7,-9055.92,-136.4410507982234,0.27505486466715434,0.42293840118879816
8892,TRINCHERO FAMILY ESTATES,33212,Sycamore Lane Chard Cal,5.7,8.49,1500.0,2750,15675.000000000002,663.0,5628.87,1180.1100000000001,149.11,11595.97,-10046.130000000001,-178.4750758145063,0.24109090909090908,0.35909856459330136
9165,ULTRA BEVERAGE COMPANY LLP,4620,Papa's Pilar Blonde Rum,21.42,29.99,750.0,731,15658.02,164.0,4182.36,3605.5899999999997,129.39000000000001,68054.7,-11475.66,-274.3824061056437,0.2243502051983584,0.2671065690298007
9552,M S WALKER INC,1148,Old New England Egg Nog,5.26,6.99,750.0,2975,15648.5,2970.0,20760.3,6556.62,2338.5,55551.82,5111.799999999999,24.622958242414605,0.9983193277310924,1.3266638974981628
9744,FREDERICK WILDMAN & SONS,11698,Lamberti Prosecco X Dry,7.84,11.99,750.0,1995,15640.8,496.0,6016.04,3501.11,55.11,3999.93,-9624.759999999998,-159.9849735041655,0.24862155388471177,0.38463761444427397
3252,E & J GALLO WINERY,25753,Barefoot Refresh Summer Red,5.33,7.99,250.0,2929,15611.57,716.0,5720.84,2341.07,27.63,61966.91,-9890.73,-172.88947077701874,0.24445203141003755,0.3664487300124203
2000,SOUTHERN WINE & SPIRITS NE,37607,Hardys Shiraz Ausl,9.39,19.99,3000.0,1662,15606.18,258.0,4475.42,3504.9799999999996,116.10000000000001,19016.59,-11130.76,-248.70872454428857,0.1552346570397112,0.28677229148965344
3252,E & J GALLO WINERY,44041,Bella Sera Pinot Noir Delle,7.61,12.99,1500.0,2048,15585.279999999999,577.0,6918.2300000000005,4148.54,128.84,61966.91,-8667.05,-125.27843104377851,0.28173828125,0.44389513694973726
12546,JIM BEAM BRANDS COMPANY,16180,Skinnygirl Sangria,6.84,10.99,750.0,2277,15574.68,475.0,5544.25,4193.41,52.47,123880.97,-10030.43,-180.91590386436397,0.20860781730346947,0.3559784213865068
9165,ULTRA BEVERAGE COMPANY LLP,18638,Waterstone Cab Svgn,16.55,24.99,750.0,941,15573.55,335.0,8371.65,5047.98,37.17,68054.7,-7201.9,-86.02724671958335,0.35600425079702447,0.537555663288075
2000,SOUTHERN WINE & SPIRITS NE,23235,Mud House Svgn Bl,7.18,14.99,750.0,2169,15573.42,441.0,5343.59,3428.16,48.83,19016.59,-10229.83,-191.44114724370692,0.2033195020746888,0.34312244837678557
1128,BROWN-FORMAN CORP,15314,Korbel Sweet Cuvee,8.96,12.99,750.0,1738,15572.48,748.0,9767.52,4582.5,83.35000000000001,68601.68,-5804.959999999999,-59.43125788327026,0.43037974683544306,0.6272295742232451
1392,CONSTELLATION BRANDS INC,38179,Rex Goliath Chard,4.13,7.99,750.0,3770,15570.1,860.0,5327.4,2647.76,95.74000000000001,79528.99,-10242.7,-192.26451927769645,0.22811671087533156,0.34215579861401013
4425,MARTIGNETTI COMPANIES,23168,Blanc de Bleu Mousseux Brut,9.93,15.99,750.0,1566,15550.38,441.0,7051.59,3885.57,49.0,144929.24,-8498.789999999999,-120.52303097599264,0.28160919540229884,0.4534673750737924
480,BACARDI USA INC,4216,Havana Club Anejo Clsco Gold,16.92,21.99,750.0,919,15549.48,443.0,9225.57,7240.499999999999,349.41,89286.27,-6323.91,-68.54763445510685,0.4820457018498368,0.5933040847668218
6785,PALM BAY INTERNATIONAL INC,24014,Au Contraire Chard RRV,9.08,13.99,750.0,1711,15535.88,302.0,4224.98,1860.67,33.63,13605.41,-11310.9,-267.71487675681306,0.1765049678550555,0.2719498348339457
2000,SOUTHERN WINE & SPIRITS NE,40965,Wente Wetmore Cab Svgn,16.44,29.99,750.0,945,15535.8,364.0,9141.359999999999,6532.4,40.25,19016.59,-6394.4400000000005,-69.95064191761402,0.3851851851851852,0.5884061329316803
4425,MARTIGNETTI COMPANIES,16427,Yellow Tail Sweet Red Roo,6.66,9.99,1500.0,2329,15511.14,743.0,7985.07,4915.9400000000005,165.77,144929.24,-7526.07,-94.25177237018586,0.31902103907256335,0.5147958177155257
3252,E & J GALLO WINERY,26358,Prophecy Pnt Grigio,6.62,9.99,750.0,2343,15510.66,1513.0,12088.87,4002.9900000000002,169.3,61966.91,-3421.789999999999,-28.305292388784054,0.6457533077251387,0.7793910768465043
7239,REMY COINTREAU USA INC,1240,Remy Martin VSOP Gift Pack,24.99,33.99,750.0,620,15493.8,532.0,18674.68,9938.17,419.15,16978.67,3180.880000000001,17.033116497846287,0.8580645161290322,1.2053001845899651
9819,TREASURY WINE ESTATES,6530,Meridian Santa Barbara Chard,5.33,7.99,750.0,2906,15488.98,769.0,6288.31,2601.83,85.79,14836.57,-9200.669999999998,-146.31387447501788,0.2646249139710943,0.40598606234884416
2242,DELICATO VINEYARDS INC,12685,Brazin Old Vine Znfdl Lodi,8.38,14.99,750.0,1847,15477.86,745.0,10484.55,6197.6,82.72,7982.65,-4993.310000000001,-47.62541072339778,0.40335679480238223,0.6773901560034784
2000,SOUTHERN WINE & SPIRITS NE,11640,F Coppola Emerald Pnt Grigio,6.49,9.99,750.0,2384,15472.16,764.0,10764.36,6545.39,84.8,19016.59,-4707.799999999999,-43.735066460058924,0.32046979865771813,0.6957244495920415
4425,MARTIGNETTI COMPANIES,8875,Freixenet Cordon Negro Brut,15.33,22.99,1500.0,1009,15467.970000000001,351.0,8131.49,4915.88,78.39,144929.24,-7336.480000000001,-90.22307104847945,0.3478691774033697,0.5256985887611625
9625,WESTERN SPIRITS BEVERAGE CO,4111,Bird Dog Strawberry Whiskey,0.79,0.99,50.0,19576,15465.039999999999,8473.0,8388.27,2087.91,442.23,1933.19,-7076.769999999999,-84.36507170131623,0.4328259092766653,0.5424020888403781
4425,MARTIGNETTI COMPANIES,14194,Caparzo Brnllo di Montalcino,25.5,37.99,750.0,606,15453.0,194.0,7370.06,3912.9700000000003,21.57,144929.24,-8082.94,-109.67264852660628,0.3201320132013201,0.47693392868698636
9165,ULTRA BEVERAGE COMPANY LLP,19554,Insomnia Cab Svgn,5.29,7.99,750.0,2921,15452.09,720.0,6195.8,4290.01,79.66,68054.7,-9256.29,-149.39620388004778,0.2464909277644642,0.4009684126872158
1392,CONSTELLATION BRANDS INC,25520,Nobilo Chard,7.23,10.99,750.0,2137,15450.51,265.0,3273.35,1848.51,29.44,79528.99,-12177.16,-372.0091038233003,0.12400561534861956,0.21186032046838582
7245,PROXIMO SPIRITS INC.,4858,Kraken Black Spiced Rum,0.71,0.99,50.0,21715,15417.65,7147.0,14222.529999999999,5279.47,370.36,38994.78,-1195.1200000000008,-8.403005653705781,0.32912733133778493,0.9224836469890028
9815,WINE GROUP INC,23049,Benziger Svgn Bl N Cst,6.12,8.99,750.0,2517,15404.039999999999,507.0,4674.93,2477.32,56.440000000000005,27100.41,-10729.109999999999,-229.50311555467135,0.20143027413587605,0.30348726697671524
8673,STE MICHELLE WINE ESTATES,38690,Ch Ste Michelle Indn Wl Merl,10.13,15.99,750.0,1519,15387.470000000001,569.0,9106.31,5012.87,63.32,15919.7,-6281.160000000002,-68.97590791440223,0.3745885450954575,0.5918003414466445
9552,M S WALKER INC,7017,The Pogues Irish Whiskey,25.59,34.99,750.0,601,15379.59,227.0,7261.73,5662.23,179.02,55551.82,-8117.860000000001,-111.78961487138741,0.3777038269550749,0.4721666832470826
7153,PINE STATE TRADING CO,2461,The Dubliner Irish Whiskey,20.15,25.99,750.0,763,15374.45,440.0,10121.599999999999,8282.4,347.01,15884.82,-5252.850000000002,-51.897427284223866,0.5766710353866317,0.6583389974925931
