VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnOver,SalesToPurchaseRatio
3960,DIAGEO NORTH AMERICA INC,4264,Capt Morgan Spiced Rum Trav,11.53,16.99,750.0,29352,338428.56,7908.0,125632.92,56552.78,6226.34,257032.07,-212795.64,-169.3788857251746,0.26941946034341785,0.37122434347739447
3960,DIAGEO NORTH AMERICA INC,2752,Johnnie Walker Black Label,26.31,38.99,750.0,12778,336189.18,3943.0,146694.57,77678.2,3105.69,257032.07,-189494.61,-129.1762946644855,0.3085772421349194,0.43634530415285827
12546,JIM BEAM BRANDS COMPANY,3997,Hornitos Plata Tequila,14.05,19.99,750.0,23835,334881.75,5431.0,113996.68999999999,60912.979999999996,4276.88,123880.97,-220885.06,-193.76445052922153,0.22785819173484373,0.340408786086432
3664,WILLIAM GRANT & SONS INC,3234,Hendrick's Gin,45.92,62.99,1750.0,7290,334756.8,2032.0,125559.68,81215.88,3734.66,30234.420000000002,-209197.12,-166.61170210054695,0.27873799725651577,0.37507730985599097
8004,SAZERAC CO INC,1767,Buffalo Trace Bourbon,19.37,24.99,750.0,17274,334597.38,6042.0,155221.58,64536.85,4757.92,50293.62,-179375.80000000002,-115.56112236455785,0.34977422716220913,0.4639055452257277
3664,WILLIAM GRANT & SONS INC,5337,Drambuie,20.6,27.99,750.0,16167,333040.2,5328.0,140415.72,68706.90999999999,4196.2,30234.420000000002,-192624.48,-137.1815634317867,0.32956021525329376,0.42161793080835286
7239,REMY COINTREAU USA INC,4437,Mount Gay Eclipse,23.48,30.99,1750.0,14171,332735.08,3647.0,120681.53,63540.8,6702.04,16978.67,-212053.55000000002,-175.7133423813901,0.25735657328346623,0.36269554144997274
1392,CONSTELLATION BRANDS INC,11213,Meiomi Pnt Nr,12.66,19.99,750.0,26190,331565.39999999997,9410.0,181044.9,46327.35999999999,1054.39,79528.99,-150520.49999999997,-83.13987303702008,0.35929744177166856,0.5460307378272884
8004,SAZERAC CO INC,5299,Southern Comfort,15.26,21.99,1750.0,21713,331340.38,11873.0,235935.27,68892.36,21814.829999999998,50293.62,-95405.11000000002,-40.436985110365235,0.5468152719568922,0.7120631358001098
7239,REMY COINTREAU USA INC,782,Remy Martin 1738 Accord Ryl,35.15,54.99,750.0,9415,330937.25,2606.0,127115.94,45871.770000000004,2052.28,16978.67,-203821.31,-160.34284134625446,0.2767923526287839,0.3841088907338174
3960,DIAGEO NORTH AMERICA INC,2889,Buchanans Deluxe 12Yr Scotch,23.07,31.99,750.0,14260,328978.2,5087.0,160017.13,24804.16,4006.12,257032.07,-168961.07,-105.58936408870724,0.3567321178120617,0.48640648529294644
3960,DIAGEO NORTH AMERICA INC,3549,Ketel One Vodka,17.82,26.99,750.0,18322,326498.04,5360.0,126434.4,60585.549999999996,4221.04,257032.07,-200063.63999999998,-158.235132210854,0.292544482043445,0.38724397855497084
